stock_id,name,market,industry,period_index,fiscal_quarter,revenue_month,revenue_yoy,operating_margin,net_income_yoy,eps,inventory_turnover,free_cash_flow,composite,composite_delta,value_pick,revenue_yoy_grade,operating_margin_grade,net_income_yoy_grade,eps_grade,inventory_turnover_grade,free_cash_flow_grade,revenue_yoy_values,operating_margin_values,net_income_yoy_values,eps_values,inventory_turnover_values,free_cash_flow_values,revenue_yoy_reason,operating_margin_reason,net_income_yoy_reason,eps_reason,inventory_turnover_reason,free_cash_flow_reason
1101,台泥,上市,水泥工業,1,2026.2Q,115/07,2,1,1,0,1,3,1.333333333,0,0,BB,B,B,C,B,A,1.53794 / 32.3988 / -0.0592892 / -3.69144 / -8.966 / -2.29771,6.24 / 8.42 / 3.76 / 13.16,491.7 / 36.2 / -161.1 / -424.7,0.29 / 0.1 / -0.32 / -1.36,1.47 / 1.35 / 1.71 / 1.6,4287 / 7388 / 12605 / 10823 / 2531 / -6328,BB.1: 六個月內曾單月負成長,B: 最近一季跌逾20% 或 平均<5%,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,B: 四季曾出現單季跌逾20%,A: 六季累積為正且四季累積為正
1101,台泥,上市,水泥工業,2,2026.1Q,115/06,2,2,1,0,0,3,1.333333333,0.3333333333,0,BB,BB,B,C,C,A,32.3988 / -0.0592892 / -3.69144 / -8.966 / -2.29771 / -14.0443,8.42 / 3.76 / 13.16 / 3.15,36.2 / -161.1 / -424.7 / -80.9,0.1 / -0.32 / -1.36 / 0,1.35 / 1.71 / 1.6 / 1.49,7388 / 12605 / 10823 / 2531 / -6328 / 8128,BB.1: 六個月內曾單月負成長,BB.1: 曾單季跌逾20%但不含最近一季,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,C: 最近一季跌逾20%,A: 六季累積為正且四季累積為正
1101,台泥,上市,水泥工業,3,2026.1Q,115/05,0,2,1,0,0,3,1,0,0,C,BB,B,C,C,A,-0.0592892 / -3.69144 / -8.966 / -2.29771 / -14.0443 / -20.4864,8.42 / 3.76 / 13.16 / 3.15,36.2 / -161.1 / -424.7 / -80.9,0.1 / -0.32 / -1.36 / 0,1.35 / 1.71 / 1.6 / 1.49,7388 / 12605 / 10823 / 2531 / -6328 / 8128,C: 平均為負或最近一月為負,BB.1: 曾單季跌逾20%但不含最近一季,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,C: 最近一季跌逾20%,A: 六季累積為正且四季累積為正
1101,台泥,上市,水泥工業,4,2026.1Q,115/04,0,2,1,0,0,3,1,-0.3333333333,0,C,BB,B,C,C,A,-3.69144 / -8.966 / -2.29771 / -14.0443 / -20.4864 / -14.6866,8.42 / 3.76 / 13.16 / 3.15,36.2 / -161.1 / -424.7 / -80.9,0.1 / -0.32 / -1.36 / 0,1.35 / 1.71 / 1.6 / 1.49,7388 / 12605 / 10823 / 2531 / -6328 / 8128,C: 平均為負或最近一月為負,BB.1: 曾單季跌逾20%但不含最近一季,B: 最近一季為負／四季兩季為負／近三季遞減且<50%,C: 最近四季累積虧損,C: 最近一季跌逾20%,A: 六季累積為正且四季累積為正
1101,台泥,上市,水泥工業,5,2025.4Q,115/03,0,1,0,0,4,3,1.333333333,0,0,C,B,C,C,AA,A,-8.966 / -2.29771 / -14.0443 / -20.4864 / -14.6866 / -0.139382,3.76 / 13.16 / 3.15 / 6.58,-161.1 / -424.7 / -80.9 / -73.1,-0.32 / -1.36 / 0 / 0.07,1.71 / 1.6 / 1.49 / 1.33,12605 / 10823 / 2531 / -6328 / 8128 / 877,C: 平均為負或最近一月為負,B: 最近一季跌逾20% 或 平均<5%,C: 最近兩季皆為負,C: 最近四季累積虧損,AA: 四季穩定且平均>=1.5次,A: 六季累積為正且四季累積為正
1101,台泥,上市,水泥工業,6,2025.4Q,115/01-02,0,1,0,0,4,3,1.333333333,,0,C,B,C,C,AA,A,-2.29771 / -14.0443 / -20.4864 / -14.6866 / -0.139382 / -6.07223,3.76 / 13.16 / 3.15 / 6.58,-161.1 / -424.7 / -80.9 / -73.1,-0.32 / -1.36 / 0 / 0.07,1.71 / 1.6 / 1.49 / 1.33,12605 / 10823 / 2531 / -6328 / 8128 / 877,C: 平均為負或最近一月為負,B: 最近一季跌逾20% 或 平均<5%,C: 最近兩季皆為負,C: 最近四季累積虧損,AA: 四季穩定且平均>=1.5次,A: 六季累積為正且四季累積為正
1101,台泥,上市,水泥工業,7,2025.3Q,115/01,0,2,0,0,1,數據不足,數據不足,,0,C,BB,C,C,B,數據不足,0.32376 / -14.0443 / -20.4864 / -14.6866 / -0.139382 / -6.07223,13.16 / 3.15 / 6.58 / 10.88,-424.7 / -80.9 / -73.1 / 116.1,-1.36 / 0 / 0.07 / 0.52,1.6 / 1.49 / 1.33 / 1.74,10823 / 2531 / -6328 / 8128 / 877 / —,C: 平均為負或最近一月為負,BB.1: 曾單季跌逾20%但不含最近一季,C: 最近兩季皆為負,C: 最近四季累積虧損,B: 四季曾出現單季跌逾20%,not enough periods
1101,台泥,上市,水泥工業,8,2025.3Q,114/12,0,2,0,0,1,數據不足,數據不足,,0,C,BB,C,C,B,數據不足,-14.0443 / -20.4864 / -14.6866 / -0.139382 / -6.07223 / -6.19388,13.16 / 3.15 / 6.58 / 10.88,-424.7 / -80.9 / -73.1 / 116.1,-1.36 / 0 / 0.07 / 0.52,1.6 / 1.49 / 1.33 / 1.74,10823 / 2531 / -6328 / 8128 / 877 / —,C: 平均為負或最近一月為負,BB.1: 曾單季跌逾20%但不含最近一季,C: 最近兩季皆為負,C: 最近四季累積虧損,B: 四季曾出現單季跌逾20%,not enough periods
1101,台泥,上市,水泥工業,9,2025.3Q,114/11,0,2,0,0,1,數據不足,數據不足,,0,C,BB,C,C,B,數據不足,-20.4864 / -14.6866 / -0.139382 / -6.07223 / -6.19388 / -26.0014,13.16 / 3.15 / 6.58 / 10.88,-424.7 / -80.9 / -73.1 / 116.1,-1.36 / 0 / 0.07 / 0.52,1.6 / 1.49 / 1.33 / 1.74,10823 / 2531 / -6328 / 8128 / 877 / —,C: 平均為負或最近一月為負,BB.1: 曾單季跌逾20%但不含最近一季,C: 最近兩季皆為負,C: 最近四季累積虧損,B: 四季曾出現單季跌逾20%,not enough periods
1102,亞泥,上市,水泥工業,1,2026.2Q,115/07,0,2,3,3,1,4,2.166666667,0.5,0,C,BB,A,A,B,AA,-7.51053 / -2.21499 / -1.15598 / -9.27 / -18.1129 / -5.78377,9.13 / 7.96 / 9.53 / 12.8,78.4 / 38.3 / -48.8 / 99.9,1.57 / 0.56 / 0.58 / 1.13,2.23 / 1.78 / 2.28 / 2.32,1335 / 2686 / 625 / 2922 / 2725 / 5712,C: 平均為負或最近一月為負,BB.1: 曾單季跌逾20%但不含最近一季,A: 近兩季皆正且無大幅衰退,A: 最近四季累積3~5元,B: 四季曾出現單季跌逾20%,AA: 連續六季為正
